Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville,CODGEO
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01011,Metz-Centre,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,21.0,21.22388214904686,µg-m3,99.0,100.0,99.0,R,1,49.119442,6.180833,Metz,57463.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01012,Metz-Borny,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,20.0,20.23951715374834,µg-m3,99.0,100.0,99.0,R,1,49.110283,6.223336,Metz,57463.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR01016,Atton,Rurale près des villes,NOX as NO2,Industrielle,Oui,mesures fixes,Moy. annuelle,19.0,19.494452167319512,µg-m3,94.0,96.0,90.0,R,1,48.886387,6.093611,Atton,54027.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01018,Scy-Chazelles,Périurbaine,NOX as NO2,Fond,Oui,mesures indicatives,Moy. annuelle,16.0,16.292532317636198,µg-m3,,,,R,1,49.107502,6.122775,Scy-Chazelles,57642.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01019,Thionville-Piscine,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,17.0,17.48524085690615,µg-m3,98.0,98.0,96.0,R,1,49.36861,6.160831,Thionville,57672.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01020,Thionville-Centre,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,28.0,27.546546896873544,µg-m3,98.0,100.0,98.0,R,1,49.358337,6.156942,Thionville,57672.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01064,Metz- Pont Grilles,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,44.0,44.26213569865232,µg-m3,99.0,100.0,99.0,R,1,49.12508,6.181219,Metz,57463.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZRE01,ZR GRAND-EST,FR01065,Belleville sur Meuse,Urbaine,NOX as NO2,Trafic,Oui,mesures indicatives,Moy. annuelle,34.0,34.1306970819824,µg-m3,,,,R,1,49.16778,5.387461,Verdun,55545.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR02022,Arles,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,20.0,20.45866434378621,µg-m3,99.0,100.0,98.0,R,1,43.675114,4.62921,Arles,13004.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02041,SALON,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,17.0,16.92822311673377,µg-m3,99.0,100.0,99.0,R,1,43.639002,5.101097,Salon-de-Provence,13103.0
